"",weight,の良い,が良い,が悪い,の高い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,が高い,を考えると,が良いと,がよく,は思います,も良いです,のよい,がよい,も良いと,は高いです,の取れた,は良好です,が良いので,はいいと,はいいです,も良い,は高いと,は良い,に優れた,もいいです,は良く,が悪いと,が悪く,は最高です,を考えれば,のとれた,もありません,がいいと,もいい,が悪いです,が高いです,があり,のある,がいいので,があります,が高く,は感じです,はあります,は抜群です,も良いので,はいいですね,が弱いです,はありますが,が良くて,も高く,の悪い,も良好です,はありませんが,になります,はします,も満足しています,は悪いです,がいいですね,がよいです,は高い,が感じます,はしました,が高いと,をする,といい,もなく,はよいです,は良いのですが,にありません,が良くない,はあり,も悪くなく,が高いので,がある,が悪いので,は思いますが,は良いですね,には満足しています,も含めて,はよいと,が良くなりました,をします,もいいですね,は気に入っています,を考えて,は満足しています,もありますが,は感じます,は悪くないと,で満足しています,にある,も思います
満足度,0.00268147682513728,0,0,0,45,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,13,0,11,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
写り,0.00268118186139532,7,4,2,0,4,4,4,5,1,6,1,1,5,0,0,2,0,4,0,1,0,2,0,0,1,1,2,7,2,0,3,0,0,2,1,0,4,2,0,8,1,3,0,0,0,0,2,0,0,1,1,0,0,4,0,1,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,18,0,0,0,1,2,0,2,1,0,0,0,0,0,3,0,2,0,17,0,0,0,3,0,1,0,0,2,0
デザイン,0.0026090172053929,1,7,0,0,3,7,2,11,2,0,0,1,1,0,0,1,1,11,2,0,1,4,0,0,1,2,6,3,2,0,2,0,3,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,0,5,2,0,0,0,0,4,0,0,0,0,2,1,3,1,0,4,0,0,0,1,0,0,1,0,1,2,0,0,5,1,0,0,0,3,2,0,2,3,0,0,0,13,0,2,0,5,3,0,0,1
気持ち,0.00179623140280347,13,7,0,0,0,0,0,0,2,1,9,0,9,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
レンズ,0.00150239483792948,5,1,1,0,1,1,10,2,0,8,0,0,1,0,0,2,0,6,0,0,0,0,1,0,0,0,3,4,1,1,1,0,0,1,0,0,0,0,0,1,1,3,0,0,5,0,0,0,0,1,4,0,0,1,0,2,1,0,2,0,2,3,6,0,0,2,0,1,1,2,0,1,1,1,2,0,1,0,5,0,0,5,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,6,2
レスポンス,0.00148894255601447,2,8,6,0,6,6,1,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
描写,0.00145296727646739,2,0,0,0,1,6,5,0,0,4,1,0,1,0,1,4,0,5,3,0,0,0,1,0,0,2,0,0,1,0,1,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,1,2,0,0,1,0,7,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,4,0,0,0,0,0,0,3,2,0,0,15,0,0,0,2,0,0,0,0,5,1
評判,0.001391579384211,14,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
発色,0.00138165380430938,1,0,2,0,3,3,2,0,0,1,0,6,3,0,0,0,1,2,4,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,0,1,0,0,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
性能,0.00133296953641529,5,2,0,1,0,3,0,3,0,1,0,0,2,2,12,1,0,4,0,0,4,0,1,0,0,1,3,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0
不満,0.00125491160169405,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,2,0,22,0,0,4,0,0,0,0,17,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
完成度,0.00122663915931081,0,0,0,37,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.00101593817457143,2,1,0,0,2,5,1,0,1,0,2,3,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
精度,0.000997915346951081,2,2,2,1,2,1,1,2,0,1,0,0,0,4,0,0,0,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
価格,0.000986929785348767,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,0,0,3,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,1
解像度,0.000969278912637772,0,1,1,5,0,1,1,0,0,2,0,1,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,2,1,2,0,0,8,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.000852176033729928,1,0,0,0,1,0,1,1,1,0,1,6,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
相性,0.000837917928839467,1,2,0,0,1,3,0,1,2,1,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,0.000789975259330062,0,1,7,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.000785785789262365,0,2,0,0,1,0,6,1,2,2,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.00077275533819061,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
値段,0.000770113747344881,0,0,0,1,0,0,0,0,1,0,0,0,0,9,27,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
コントラスト,0.000748726834263724,1,1,0,11,0,1,0,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
カメラ,0.0007476254342168,3,0,0,0,0,0,2,1,0,6,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,3,1,4,0,1,0,0,0,2,0,0,3,0,1,2,0,1
感じ,0.000735194808868674,0,4,0,0,0,0,3,1,1,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,2,0,0,1,0,6,0,0,0,0,0,22,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0
ホールド性,0.000701476072033923,0,1,2,0,4,0,2,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.000687577303797207,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評価,0.000686383337202163,1,0,0,12,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
液晶,0.000675275423952652,1,1,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2,0,1,2,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
機能,0.000644806152093006,0,3,1,0,0,0,0,1,0,4,0,0,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,12,0,2,0,1,0,0,10,1,0,2,0,2,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,1
視認性,0.000642565099149602,2,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
質,0.000632593314647839,4,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,0.000605475293400383,0,0,0,10,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.000604760367060816,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
解像感,0.00059606417775529,0,0,1,1,0,2,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,6,0,4,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
大きさ,0.000576498427119318,0,0,0,0,0,1,2,1,2,2,1,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
画像,0.000563751842645925,0,1,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0
重量バランス,0.000562646937205498,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
バッテリー,0.00055597605115945,0,1,0,0,0,0,5,1,0,9,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
出来,0.000549706305320511,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
補正,0.000537400918947857,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,1,2,0,0,2,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
重さ,0.000536378484725773,0,3,0,0,0,2,2,0,0,1,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
描写力,0.000534426949907731,0,0,0,0,0,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,0,1,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
色,0.000534403635124804,0,1,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AF,0.000514512716936893,0,1,1,0,0,0,2,0,0,6,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
機能性,0.000469354003774575,0,0,0,0,1,0,3,3,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,4,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.000466818268306311,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
