"",weight,バランス,画質,使い勝手,操作性,持ち,携帯性,ホールド感,コストパフォーマンス,質感,写り,デザイン,気持ち,レスポンス,評判,レンズ,発色,性能,満足度,描写,不満,色乗り,相性,精度,価格,感触,完成度,天気,もち,色のり,解像度,ホールド性,感じ,質,出来,視認性,コントラスト,値段,カメラ,液晶,感度,機能,色,バッテリー,大きさ,重さ,ヌケ,描写力,補正,切れ,解像感,ボケ味,AF,操作感,重量バランス,画像,反応,問題,ボケ,位置,色合い,ホールド,評価,音,取り回し,条件,機能性,AF精度,使用頻度,場合,シャッター音
は最高です,0.000200068171279763,0,7,2,1,1,1,0,9,4,4,2,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0
を考えれば,0.000199623807685765,5,2,0,1,0,3,1,3,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がいいと,0.000197424857426836,4,1,3,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もいい,0.000188231960816528,2,4,1,5,0,0,3,1,0,3,2,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1
が悪いです,0.000186480670268698,2,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.000178306034296,0,6,1,1,0,1,5,0,0,8,1,0,0,0,1,1,0,0,0,15,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,0,1,1,0,0,1,2,0,0,3,1,0,0,1,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0
がいいので,0.000173181010600147,0,1,1,2,6,5,1,1,0,2,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
の悪い,0.000165294326077608,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
があり,0.000160576253910332,0,1,0,1,0,0,2,0,4,0,0,1,0,0,5,1,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,10,0,0,1,4,0,0,1,4,8,0,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,4,0
は抜群です,0.000157655238663105,1,1,0,6,1,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.000156440721493993,0,2,0,3,2,2,3,0,4,1,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,2,0,2,1,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
が良くて,0.00015451620152653,1,2,1,0,2,1,1,0,1,2,0,0,1,0,1,0,2,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.000150028859987843,3,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が高く,0.000149900055421806,0,0,0,1,0,0,1,4,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,0,0,0,8,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0
はいいですね,0.000144462322738895,2,2,0,1,2,0,0,3,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が高いです,0.000142891989560714,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,16,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
も良好です,0.000142362703137803,0,2,1,3,1,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいです,0.000138235558818388,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.000136126433098491,1,1,4,1,0,0,0,0,2,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
はありませんが,0.000136045893656314,0,4,0,1,1,7,2,0,1,0,2,0,0,0,2,0,1,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,6,0,1,1,0,0,0,9,1,1,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1
も高く,0.000135368550574427,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,7,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はあります,0.000132973008023939,0,6,0,1,0,1,3,0,6,1,2,0,0,0,4,0,3,0,5,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,0,0,2,2,0,4,2,0,2,0,3,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0
はありますが,0.000132444979504522,0,9,0,3,1,0,0,0,3,1,4,0,0,0,2,0,0,1,1,17,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,1,0,4,0,1,1,4,0,0,0,0,1,1,2,0,0,0,0,6,1,0,2,1,0,1,0,0,1,0,0,1,0
があります,0.00013064577744684,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,22,0,0,1,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,4,0,0,1,0,1,0,4,1,1,0,1,1,0,0,1,0,0,0,25,0
になります,0.000127950850533832,1,5,0,0,0,0,0,0,0,3,1,2,0,0,3,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0
が感じます,0.000126897675730483,3,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000126770282961182,1,3,0,3,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
はします,0.000126142040939262,1,7,0,0,2,0,3,0,1,2,3,0,0,0,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,4,0,0,0,0
も満足しています,0.000124173254696443,1,11,0,2,1,0,2,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
のある,0.000120960652928818,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,7,7,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
が良くない,0.000115570916132208,1,1,1,1,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
もなく,0.000111706544828047,1,5,1,2,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,12,1,0,1,0,0,1,0,0,0,0,0,0,0
といい,0.0001101295181173,0,3,0,1,0,1,2,1,4,0,1,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
は良いのですが,0.000106429918578401,0,4,0,4,1,5,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
はよいです,0.000104640013857683,1,2,0,4,3,3,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
をする,0.000102487868180204,0,2,0,0,0,0,0,0,0,18,0,0,0,0,1,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
にありません,0.000101685976087078,0,3,1,3,1,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
は高い,9.91310859755925e-05,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,13,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
はしました,9.85310606625159e-05,0,3,0,5,0,4,2,0,0,0,1,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
を考えて,9.83185670944853e-05,2,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も悪くなく,9.79072584083742e-05,1,3,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,9.62377409529901e-05,1,1,1,1,0,0,0,2,3,0,2,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
が悪いので,9.58575969867969e-05,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
はよいと,9.53104192939473e-05,1,1,1,0,1,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は思いますが,9.51329026622568e-05,0,7,0,3,1,2,2,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1
もいいですね,9.47273270247467e-05,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
