"",weight,の高い,の良い,は高いです,が良い,が高い,が悪い,は高いと,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,を考えると,が良いです,もよく,は思います,がいいです,がいい,が弱いです,が高く,が良いと,は高い,は最高です,が高いと,がよい,も良いと,も良いです,があります,がよく,も高く,のよい,はいいです,はしました,はいいと,は良好です,が高いので,も良い,を考えれば,が良いので,もいいです,のある,はあります,があり,は良い,は良く,の取れた,は5です,は高く,もありません,が悪いと,が悪く,はいいですね,は感じです,もいい,は満点です,は抜群です,がいいので,が悪いです,は最高だと,がある,も高い,はありますが,はします,がいいと,はあると,はありませんが,のとれた,があると,は最高ですね,はしましたが,も良好です,も良いので,の悪い,も満足しています,といい,が良くて,をしました,になります,は悪いです,もいいですね,は良いのですが,はあり,は素晴らしいです,に優れている,にありません,も含めて,がいいですね,は思いますが,はよいと,はものです,がよいです,は良いですね,が低い,が悪いので,が感じます,に優れていると,はよいです,もなく
完成度,0.0137733437149204,37,0,3,0,11,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,0.0135217768709669,0,3,1,3,1,5,0,14,5,6,4,0,9,0,0,2,5,4,1,1,0,1,1,0,0,0,0,0,4,1,1,0,0,2,2,0,9,0,1,1,3,3,0,3,2,7,1,0,0,0,5,0,3,0,3,3,1,4,1,0,0,0,0,0,3,1,0,2,0,1,0,2,2,4,0,2,2,1,0,0,1,0,3,2,0,0,2,0,0,2,1,0,1,1,0,0,1,0,2,0
写り,0.00986844173542322,0,7,0,4,0,2,0,4,4,4,5,0,6,0,0,1,1,4,1,5,0,0,2,0,4,0,0,2,0,0,0,1,1,7,0,2,1,0,2,2,1,0,0,1,0,3,2,0,0,0,8,1,0,4,1,3,0,0,2,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,2,2,3,0,0,1,2,1,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0
デザイン,0.00983229720422321,0,1,0,7,0,0,0,2,3,7,11,0,0,0,0,2,1,11,0,1,0,0,1,0,2,0,1,4,2,0,1,0,0,3,1,6,1,0,2,0,2,3,1,2,0,2,0,0,1,1,1,0,0,0,5,2,1,0,0,0,1,0,0,4,3,1,5,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,5,0,0,0,2,4,3,3,0,0,2,0,0,0,0,1,0
評価,0.0086465748748052,12,1,2,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0
解像度,0.00840370978090834,5,0,2,1,6,1,0,1,0,1,0,2,2,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,1,0,0,0,2,0,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
使用頻度,0.00667331675733395,10,0,2,0,11,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
価格,0.00660668416606282,0,0,1,0,9,0,3,0,0,0,0,1,0,0,45,0,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
性能,0.00653356686795285,1,5,1,2,2,0,2,0,0,3,3,0,1,0,12,0,0,4,0,2,0,1,1,0,0,1,4,0,0,2,0,0,0,0,0,3,0,0,0,5,1,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,3,0,1,0,0,0
レンズ,0.00644389179128337,0,5,1,1,0,1,1,10,1,1,2,0,8,0,0,0,0,6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4,2,3,0,0,1,0,0,0,0,4,5,1,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,5,0,2,6,1,4,2,0,2,1,0,0,0,2,0,1,1,0,3,0,0,0,5,0,0,1,2,2,1,0,1,0,0,0,0,1,0,2,1
コントラスト,0.00621135632987987,11,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
AF精度,0.00612542791742778,1,1,1,0,1,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
精度,0.00604430898250512,1,2,1,2,4,2,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1,0,3,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
気持ち,0.00604031306639001,0,13,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,9,9,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
レスポンス,0.0054787462346134,0,2,0,8,0,6,0,1,6,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.0053335355673112,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
満足感,0.00516329736334142,7,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不満,0.0050801252255541,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,26,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
値段,0.00505914377613457,1,0,1,0,9,0,0,0,0,0,0,2,0,0,27,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
描写,0.00493843170905441,0,2,1,0,0,0,0,5,1,6,0,0,4,1,1,0,0,5,1,1,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,7,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
発色,0.00488451051768398,0,1,0,0,0,2,0,2,3,3,0,0,1,0,0,0,6,2,0,3,0,0,0,0,2,0,0,0,4,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
解像感,0.00436951793128327,1,0,0,0,2,1,2,1,0,2,1,2,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ボディ,0.00396526457314553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.00361328733010956,0,2,0,1,0,0,0,1,2,5,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,0.00349701730551065,4,0,1,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.00317007881083927,0,3,0,0,1,0,1,2,0,0,1,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,1,2,1,1,1,0,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0
機能,0.00316149050105037,0,0,1,3,0,1,0,0,0,0,1,0,4,1,8,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,12,0,0,1,1,10,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,5,0,4,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
もち,0.00313395093238512,0,0,0,1,0,7,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
掛かり,0.00310160535226085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,0.00305382679258758,0,1,0,2,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
質,0.00296655599972936,2,4,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.00293650097845697,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,4,4,0,1,1,0,0,1,1,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
機能性,0.00292268246855427,0,0,0,0,1,0,0,3,1,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,2,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0
感度,0.00290369425630383,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
感触,0.00288093008375578,0,0,0,2,0,0,0,6,1,0,1,0,2,0,1,2,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
液晶,0.00286272427380062,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0
色のり,0.00286184788957936,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.00274440111189503,0,0,0,4,0,0,0,3,0,0,1,0,6,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
お買い得感,0.00264867626860865,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.0026269048770776,0,0,0,1,1,2,0,2,4,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,0.00259311346865112,0,2,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
バッテリー,0.00252790994336938,0,0,0,1,1,0,0,5,0,0,1,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,2,0,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
汎用性,0.00251330278996837,2,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.00246673538622766,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,2,1,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,1,9,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3
AF,0.00234154409027642,0,0,1,1,0,1,0,2,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.00233581236432638,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レベル,0.00215400561632233,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
