"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,気持ち,レスポンス,コストパフォーマンス,発色,評判,描写,レンズ,色乗り,性能,相性,もち,ホールド性,感触,精度,色のり,視認性,天気,感じ,色,質,重さ,大きさ,位置,操作感,重量バランス,反応,解像度,不満,感度,液晶
の高い,0.000993132722462086,2,0,0,0,0,0,0,0,5,0,0,0,36,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0
のとれた,0.000982324142510801,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,0.00096003844790961,1,10,1,4,8,1,1,2,6,2,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0
が悪いと,0.000935561355349933,4,4,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0
が悪いです,0.000911240386057739,2,4,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
が高い,0.000868790061161554,2,0,0,0,3,1,1,0,9,0,0,0,14,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0
がいいと,0.000821638563131062,4,1,3,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいので,0.000745729410170363,0,1,1,6,2,5,1,2,0,0,1,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
を考えれば,0.000722496325867545,5,2,0,0,1,3,1,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいい,0.000714669324830753,2,4,1,0,5,0,3,3,0,2,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
は抜群です,0.000695663640831096,1,1,0,1,6,17,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.000656801898451484,3,0,0,4,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
は最高です,0.000650676418704657,0,7,2,1,1,1,0,4,4,2,0,0,9,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
は感じです,0.000618612807224363,0,2,0,2,3,2,3,1,4,5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2
がよいです,0.000608710708555779,0,0,5,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
も良好です,0.000607159330137687,0,2,1,1,3,0,2,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
がいいですね,0.000590298815125567,1,1,4,0,1,0,0,0,2,4,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.000588626359191956,0,6,1,0,1,1,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,15,0,1
が良くて,0.000586530618935902,1,2,1,2,0,1,1,2,1,0,0,1,0,0,0,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,0.000548435475308695,3,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいですね,0.000525321755963051,2,2,0,2,1,0,0,4,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
は悪いです,0.000522233277696043,1,3,0,6,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,0.000520698478170837,1,1,1,5,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に優れた,0.000512749602885143,0,1,0,0,2,5,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,0.000497950990666192,1,5,0,0,0,0,0,3,0,1,2,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,22,5,0,0,1,0,0,0,0,0,1,0,0
も満足しています,0.000483994463336643,1,11,0,1,2,0,2,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
はします,0.000471096920064946,1,7,0,2,0,0,3,2,1,3,0,0,0,2,0,1,6,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,1
はよいです,0.000463234415323833,1,2,0,3,4,3,2,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
は良いのですが,0.000459394356060721,0,4,0,1,4,5,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も悪くなく,0.000448493105712863,1,3,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪いので,0.000440265060634376,1,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
にありません,0.000439380684320949,0,3,1,1,3,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
もなく,0.000411362488821542,1,5,1,1,2,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0
といい,0.000410699216437272,0,3,0,0,1,1,2,0,4,1,0,0,1,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
はありますが,0.000407925631382875,0,9,0,1,3,0,0,1,3,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,6,0,0,4,1,0,0,0,0,1,17,0,1
は悪くないと,0.000403253072546645,1,1,2,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
をする,0.000403135907411025,0,2,0,0,0,0,0,18,0,0,0,0,0,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
はあります,0.000403000832826299,0,6,0,0,1,1,3,1,6,2,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,4,0,1
は良いですね,0.00040175729897822,1,5,1,2,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
はよいと,0.000390047658311056,1,1,1,1,0,2,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,0.000387178330042081,0,8,1,0,1,2,0,3,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
は思いますが,0.00038549293074136,0,7,0,1,3,2,2,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
もいいですね,0.00038227741499634,0,1,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
の悪い,0.000380174413202925,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
はありませんが,0.000379166315536115,0,4,0,1,1,7,2,0,1,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,1
は気に入っています,0.00037862778690181,1,5,1,0,1,0,2,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
には満足しています,0.000374619362401007,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,0.000374362612547219,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,0.000360141652825805,1,1,1,0,1,0,0,0,3,2,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
をします,0.000348555286321432,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が良いとは,0.000346710976029356,0,2,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,0.000346365223786585,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はあり,0.0003410953238644,0,8,0,0,1,0,2,2,1,5,0,0,0,1,0,4,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
があります,0.000340039520695569,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5,0,1,2,0,1,1,0,0,0,22,0,1
という点では,0.000339765940241736,0,2,2,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,0.000336303514370106,1,0,0,1,2,1,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,0.000332721164948247,0,0,0,0,0,1,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0
は満足です,0.000328797400325102,0,7,1,0,2,2,1,2,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいと,0.000328612727100096,0,0,1,0,1,1,3,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,0.000327452270844359,1,3,0,1,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いと,0.000320671452261837,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くないです,0.000317931102237503,0,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
を重視して,0.00031153523172381,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,0.000296479672364453,0,0,0,0,1,0,1,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
はよい,0.000296345825162138,1,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.000292615678047827,0,1,0,0,1,0,2,0,4,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,14,1,0
が好きです,0.000292022938583713,1,0,0,0,1,0,0,0,0,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
は感じます,0.000288105576493379,0,8,0,0,2,1,1,1,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
も良いですね,0.000287525565686195,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
も良くて,0.00028463156901429,0,4,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,0.000282818592048793,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
にある,0.000280689284940682,0,3,0,0,1,0,0,2,1,0,0,0,0,0,0,5,6,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,8,1,0,0,0,0,0,2
がなる,0.000279212586038089,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
が悪いのが,0.000278702584149644,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は悪い,0.000278626865649606,0,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,0.000278398203916546,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
もいいし,0.000276464678765505,0,2,1,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
で満足しています,0.000274754149286,0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
がありません,0.000274198797258037,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
はしました,0.000273824252318664,0,3,0,0,5,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
は方だと,0.000273551203282567,0,2,0,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
に満足しています,0.000273037856254747,0,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,0.000272657288496161,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
も思います,0.000271117443644925,0,5,1,1,3,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありますが,0.000270324518607781,0,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,6,0,0
は落ちますが,0.000268356367266002,0,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
は最高,0.000263928526403643,0,1,1,1,1,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じました,0.000259345464539828,0,2,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が取れた,0.000258506353292316,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,0.000254443893074625,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いし,0.000252142273069849,0,2,0,3,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いという,0.00025108650490464,0,2,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は問題なし,0.000249343391819263,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
もよいです,0.000247108805401931,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
もいいと,0.000244551500555681,0,2,0,0,1,1,2,1,1,5,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は劣りますが,0.000244200599036158,0,7,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いです,0.000244071366838611,0,0,0,0,1,0,1,0,2,0,0,0,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
もいいですし,0.000242362479606294,1,4,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も気に入っています,0.000240937847910747,0,3,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1
がイマイチ,0.000239265587733307,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も良いですし,0.000238326418395265,0,1,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,0.000235860580868689,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪くなる,0.000235681727679702,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はものです,0.000233647492874849,0,11,0,0,2,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高だと,0.00023261032647162,1,1,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,0.000231167171173415,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いので,0.000230519753582981,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
は良いとは,0.000227981203800968,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がよいので,0.000227648668827206,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も抜群です,0.000220070294626525,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は好きです,0.000217182931037544,0,3,0,0,0,0,0,0,1,18,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も良好,0.000215672402003825,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
