"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,気持ち,レスポンス,コストパフォーマンス,評判,発色,描写,レンズ,性能,色乗り,もち,相性,感触,精度,ホールド性,色のり,不満,感じ,視認性,天気,価格,色,感度,質,重さ,ボケ味,操作感,大きさ,重量バランス,バッテリー,位置,カメラ,液晶,反応,解像度,出来,描写力,画像,ヌケ,機能,値段
はありません,0.00256697172496972,0,18,4,9,11,11,9,6,2,0,1,1,0,0,1,4,8,1,0,0,1,2,1,1,0,158,6,0,0,0,0,0,0,1,1,0,2,0,9,0,6,1,0,2,0,2,3,0,4,0
がいい,0.00256616416493645,4,9,1,10,1,1,1,5,4,1,9,1,1,3,3,1,1,2,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
が良いと,0.00235126715078996,9,13,6,2,2,1,1,2,1,1,0,0,2,0,0,4,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
がよく,0.0020336907763503,5,1,5,1,3,0,1,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
を考えると,0.00202923162013091,8,2,4,0,3,3,0,0,0,0,0,0,10,0,0,1,0,12,0,1,0,1,0,0,0,0,0,0,0,45,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,1,0,0,8,27
のよい,0.00200067625204217,6,1,5,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
も良いと,0.00189029106698779,11,6,1,1,6,2,0,2,3,4,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
も良いです,0.00184013474152461,4,5,1,5,9,2,4,0,2,2,0,0,0,0,4,3,0,0,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
がよい,0.00181402446097923,3,1,6,6,2,3,0,0,1,1,2,0,3,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,0.00178709592354469,0,28,1,0,11,12,4,4,2,11,0,0,2,0,2,5,6,4,1,0,0,0,0,1,0,0,0,1,0,3,1,1,0,1,2,0,0,0,3,0,3,5,0,1,1,0,1,0,1,2
は良好です,0.0017282509330657,3,2,5,0,6,3,9,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,0.00157951935954342,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.00149496373041013,4,11,3,0,9,0,0,2,2,6,0,0,1,0,0,0,3,3,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
が良いので,0.00146393778688955,2,5,3,2,2,1,3,1,0,2,0,1,0,6,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
はいいです,0.00137166670957545,0,11,3,1,4,10,2,7,5,3,0,0,1,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,3,1,0,0,1,1,0,0,0,0
は良い,0.00134667298366041,2,7,1,4,2,3,7,3,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
もいいです,0.00131164936442256,0,9,1,6,3,1,3,0,5,3,0,1,0,0,1,1,0,0,0,1,2,3,1,0,0,0,2,0,0,0,0,0,0,2,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1
の高い,0.00124738640957545,2,0,0,0,0,0,0,0,5,0,0,0,36,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
が悪いと,0.00123035092676055,4,4,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
が悪く,0.00122018737791879,2,0,1,6,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0
は良く,0.00120528084943767,3,7,1,2,2,4,1,2,0,0,0,1,0,1,0,3,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
も良い,0.00116319389181136,1,10,1,4,8,1,1,2,6,2,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0
が高い,0.0011335909006016,2,0,0,0,3,1,1,0,9,0,0,0,14,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,1,0,0,6,0,1,0,0,0,9
のとれた,0.00111151362338241,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,0.0010916385611257,2,4,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
がいいと,0.00100824697566586,4,1,3,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
がいいので,0.000954491489992914,0,1,1,6,2,5,1,2,0,0,1,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
を考えれば,0.000940060022390271,5,2,0,0,1,3,1,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,17
もいい,0.000906570401350988,2,4,1,0,5,0,3,3,0,2,0,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が良くて,0.000840214734143258,1,2,1,2,0,1,1,2,1,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
は抜群です,0.000832528781816188,1,1,0,1,6,17,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は最高です,0.000831246205106025,0,7,2,1,1,1,0,4,4,2,0,0,9,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
もありません,0.000823362757214068,0,6,1,0,1,1,5,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,15,1,1,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,1,1,0,2,0
も良いので,0.000820967896562919,3,0,0,4,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
も良好です,0.000787368294171154,0,2,1,1,3,0,2,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
は感じです,0.000764134912128201,0,2,0,2,3,2,3,1,4,5,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,4,1,0,2,0,0,0,0,1,0,2,0
がよいです,0.000754723326733552,0,0,5,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,0.000743555119074804,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0
はいいですね,0.000711799062757255,2,2,0,2,1,0,0,4,1,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0
がいいですね,0.000709489255187129,1,1,4,0,1,0,0,0,2,4,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
に優れた,0.000686176251678676,0,1,0,0,2,5,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
が感じます,0.000668444066591899,3,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
になります,0.000644398360956631,1,5,0,0,0,0,0,3,0,1,2,0,0,0,3,7,3,0,0,0,0,0,0,0,0,1,22,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,0,1
は悪いです,0.000642708942447883,1,3,0,6,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
が良くない,0.000630720178551977,1,1,1,5,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,0.000587976554930091,1,7,0,2,0,0,3,2,1,3,0,0,0,0,2,1,6,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,6,0,2,1,0,1,0,0,0,0,0,0
も満足しています,0.000582748066322621,1,11,0,1,2,0,2,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はあります,0.000573161353111702,0,6,0,0,1,1,3,1,6,2,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,2,0,0,0,3,1,0,0,0,4,2,0,1,0
はよいです,0.000558849132631464,1,2,0,3,4,3,2,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
は良いのですが,0.000552481856457796,0,4,0,1,4,5,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はありますが,0.00053821613567882,0,9,0,1,3,0,0,1,3,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,17,6,0,0,0,0,0,0,4,1,0,1,0,1,0,1,1,0,1,0,0,0,0,4,0
にありません,0.000536707122891947,0,3,1,1,3,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
も悪くなく,0.000530376149722057,1,3,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
をする,0.000523104860990475,0,2,0,0,0,0,0,18,0,0,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
が悪いので,0.000521991025779926,1,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はありませんが,0.000512466763705962,0,4,0,1,1,7,2,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,6,0
もなく,0.000507327599496221,1,5,1,1,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
といい,0.00050310777526605,0,3,0,0,1,1,2,0,4,1,0,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
には満足しています,0.000491792482857662,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,1
は悪くないと,0.00048087032467753,1,1,2,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
は良いですね,0.000480600638705045,1,5,1,2,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
はよいと,0.000473053549555288,1,1,1,1,0,2,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
は思いますが,0.000472990431493746,0,7,0,1,3,2,2,0,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0
は満足しています,0.000469790466554467,0,8,1,0,1,2,0,3,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
もいいですね,0.000462118196765352,0,1,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は高いと,0.000461031129015343,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は気に入っています,0.000460900470386528,1,5,1,0,1,0,2,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
を考えて,0.000448842151291344,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
をします,0.000446610032261954,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,0.000445978050029063,1,1,1,0,1,0,0,0,3,2,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
があります,0.000441000163433623,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,22,5,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0
があり,0.000427539060400528,0,1,0,0,1,0,2,0,4,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,10,0
はあり,0.000417556826776867,0,8,0,0,1,0,2,2,1,5,0,0,0,0,1,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
が良いとは,0.000417506500298939,0,2,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
という点では,0.000412262202786118,0,2,2,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
で決めました,0.000411520543153236,1,0,0,1,2,1,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
も高く,0.000409581665529654,0,0,0,0,0,1,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
が良いのか,0.000408905195838391,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
は満足です,0.000407389570316884,0,7,1,0,2,2,1,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
が良くなりました,0.000407075846019617,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,0.000404691350585579,0,0,1,0,1,1,3,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,0.000398129399175833,0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,1,1
はいい,0.000394773508410726,1,3,0,1,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
が高く,0.000390549748548106,0,0,0,0,1,0,1,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2
は悪くないです,0.000384994077219542,0,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にある,0.000383627262244642,0,3,0,0,1,0,0,2,1,0,0,0,0,0,0,5,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,2,0,0,0,3,0,0,0,0
に満足しています,0.000376761687484425,0,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,1
を重視して,0.000374592360239466,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じます,0.000360045427603511,0,8,0,0,2,1,1,1,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0
もありますが,0.000349920216659645,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
がありません,0.00034970817378401,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
はよい,0.000349222899064745,1,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,0.000347411173727999,1,0,0,0,1,0,0,0,0,6,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,0.000346354819065364,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
は悪い,0.000345018273088574,0,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
も良いですね,0.000344292060465166,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
が悪いのが,0.000341382178631158,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,0.000339955181896776,0,4,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も思います,0.000339127065145034,0,5,1,1,3,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
は方だと,0.000338747866797167,0,2,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
は落ちますが,0.000334820689964648,0,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
がなる,0.000330661237883533,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
もいいし,0.000329193421245633,0,2,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はしました,0.000329124639238332,0,3,0,0,5,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
は最高,0.000327707177448297,0,1,1,1,1,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
