"",weight,バランス,画質,使い勝手,持ち,操作性,携帯性,ホールド感,写り,質感,デザイン,コストパフォーマンス,気持ち,レスポンス,レンズ,発色,評判,描写,不満,性能,色乗り,もち,相性,感触,精度,ホールド性,感じ,色のり,視認性,天気,液晶,価格,色,バッテリー,カメラ,質,重さ,感度,機能,画像,解像度,大きさ,出来,位置,ボケ味,操作感,重量バランス,AF,補正,描写力,値段,反応,ヌケ,ボケ,問題,AF精度,解像感,ホールド,切れ,音,機能性,色合い,条件,コントラスト,取り回し,見た目,シャッター音,場合,・操作性,満足度,グリップ感
もよく,0.00366581818787624,5,11,4,6,5,6,5,1,2,1,1,0,0,0,6,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
がいい,0.00344859249495796,4,9,1,10,1,1,1,5,4,1,1,9,1,1,3,3,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
が良いと,0.00303418713065451,9,13,6,2,2,1,1,2,1,1,2,0,0,2,0,0,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
がよく,0.00269567912987842,5,1,5,1,3,0,1,0,1,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
のよい,0.00266656950913776,6,1,5,0,0,0,0,1,0,0,0,3,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
を考えると,0.00263980873595949,8,2,4,0,3,3,0,0,0,0,10,0,0,0,0,0,1,0,12,0,1,0,1,0,0,0,0,0,0,0,45,0,0,0,0,1,0,8,0,0,8,0,0,0,0,1,0,1,1,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は思います,0.00263490833033136,0,28,1,0,11,12,4,4,2,11,2,0,0,6,2,0,5,0,4,1,0,0,0,0,1,0,0,1,0,5,3,1,3,3,0,1,1,1,1,1,0,1,0,2,0,0,2,3,0,2,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,4,0,1,1
がよい,0.00263474096004585,3,1,6,6,2,3,0,0,1,1,3,2,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,0,0
も良いです,0.00258870282183956,4,5,1,5,9,2,4,0,2,2,0,0,0,0,4,0,3,0,0,2,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
も良いと,0.00249395966031822,11,6,1,1,6,2,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
は良好です,0.00222792013714812,3,2,5,0,6,3,9,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
の高い,0.00211926872925579,2,0,0,0,0,0,0,0,5,0,36,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,45,0
はいいと,0.00203298770527176,4,11,3,0,9,0,0,2,2,6,1,0,0,3,0,0,0,0,3,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
が良いので,0.00196391000023834,2,5,3,2,2,1,3,1,0,2,0,0,1,0,1,6,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
の取れた,0.00194616107224521,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,0.00188630922787012,0,11,3,1,4,10,2,7,5,3,1,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,2,1,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
は良い,0.00178632543759181,2,7,1,4,2,3,7,3,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
もいいです,0.00177569489671501,0,9,1,6,3,1,3,0,5,3,0,0,1,0,1,0,1,0,0,0,1,2,3,1,0,2,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
も良い,0.00172473189533366,1,10,1,4,8,1,1,2,6,2,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
が高い,0.00171392305861048,2,0,0,0,3,1,1,0,9,0,14,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,9,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,2,0,0,0,1,0,0,5,0,0,0,0,0,7,0
が悪いと,0.001657775405629,4,4,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
は良く,0.00163002915339658,3,7,1,2,2,4,1,2,0,0,0,0,1,1,0,1,3,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
が悪く,0.00161427690496761,2,0,1,6,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が悪いです,0.00144911072494725,2,4,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のとれた,0.00136952075454293,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.00136019805198776,4,1,3,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もいい,0.00129726552188407,2,4,1,0,5,0,3,3,0,2,1,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
がいいので,0.00126317158654907,0,1,1,6,2,5,1,2,0,0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.00126220965326515,0,6,1,0,1,1,5,8,0,1,0,0,0,1,1,0,0,15,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,2,1,0,1,0,0,3,0,0,1,2,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,0.00122028069057098,5,2,0,0,1,3,1,2,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,0.00120483762177989,0,7,2,1,1,1,0,4,4,2,9,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
は抜群です,0.00111686026328219,1,1,0,1,6,17,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.00110888911411582,0,2,0,2,3,2,3,1,4,5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,0,1,4,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
が良くて,0.00109823601108905,1,2,1,2,0,1,1,2,1,0,0,0,1,1,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,0.00108542121721243,3,0,0,4,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
はいいですね,0.00106074812843383,2,2,0,2,1,0,0,4,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
も良好です,0.00104967545324297,0,2,1,1,3,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
は悪いです,0.00102680247862712,1,3,0,6,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
があり,0.00102307049036542,0,1,0,0,1,0,2,0,4,0,0,1,0,5,1,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,10,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0,8,0,4,2,0,0,0,1,0,0,0,4,0,0,0
の悪い,0.00102124008046949,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
に優れた,0.00100708089673506,0,1,0,0,2,5,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,0.000997779179668896,0,4,0,1,1,7,2,0,1,2,0,0,0,2,0,0,0,26,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,1,1,1,0,0,0,0,0,3,9,0,0,0,0,0,8,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
がよいです,0.000962842258887644,0,0,5,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.000947714986924215,1,1,4,0,1,0,0,0,2,4,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
はありますが,0.000947278292357964,0,9,0,1,3,0,0,1,3,4,0,0,0,2,0,0,1,17,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,1,0,4,0,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,6,0,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0
も満足しています,0.000910175544676022,1,11,0,1,2,0,2,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
があります,0.000906604242001831,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,22,2,0,0,0,1,1,0,5,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,4,1,1,0,0,0,1,0,0,0,0,25,0,0,0
はあります,0.000905516871027531,0,6,0,0,1,1,3,1,6,2,0,0,0,4,0,0,5,4,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,2,0,1,2,0,2,0,0,0,0,0,3,2,4,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0
になります,0.000888264960561956,1,5,0,0,0,0,0,3,0,1,0,2,0,3,3,0,7,1,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
はします,0.000886409491361125,1,7,0,2,0,0,3,2,1,3,0,0,0,6,2,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,6,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,2,0
が感じます,0.000884195755507337,3,0,1,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が良くない,0.000870605290134284,1,1,1,5,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
はよいです,0.000834335715560714,1,2,0,3,4,3,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
は高いと,0.000806260604393739,0,0,0,0,0,0,0,0,2,0,24,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0
もなく,0.000793458001598336,1,5,1,1,2,1,0,0,1,0,0,0,0,1,2,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
は良いのですが,0.000790620953302357,0,4,0,1,4,5,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,0.000777294096407719,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,2,0,0,0,7,4,0,0,0,0,2,0,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0
にありません,0.000774459328248808,0,3,1,1,3,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,0.000758695597177982,0,3,0,0,1,1,2,0,4,1,1,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0
が悪いので,0.00075386578928316,1,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をする,0.000729058771041557,0,2,0,0,0,0,0,18,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も悪くなく,0.000702692094987269,1,3,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は思いますが,0.00070104267398991,0,7,0,1,3,2,2,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
には満足しています,0.000688309650821989,0,12,1,1,1,1,1,3,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は良いですね,0.00065648087144105,1,5,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はあり,0.000649034121043699,0,8,0,0,1,0,2,2,1,5,0,0,0,5,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0
を考えて,0.000647614710144655,2,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は満足しています,0.000636941821733953,0,8,1,0,1,2,0,3,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,0.000634537404622216,1,1,1,1,0,2,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も高く,0.000631394578224525,0,0,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
は気に入っています,0.00062724585620371,1,5,1,0,1,0,2,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,0.000624759071857306,0,1,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は悪くないと,0.000623145666277952,1,1,2,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
