"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が悪い,が高いです,に優れた,は良いです,は良いと,が良く,も良く,を考えると,はありません,は高い,が高く,が良いです,が高いと,は思います,もよく,は最高です,がいいです,がいい,も高く,があります,が良いと,はしました,も良いと,が高いので,がよい,は5です,のよい,を考えれば,がよく,が弱いです,も良いです,は高く,はいいです,はいいと,のある,があり,は満点です,は良好です,はあります,も高い,が良いので,も良い,は最高だと,の取れた,は良い,もいいです,は良く,もありません,が悪いと,がある,はあると,はしましたが,が悪く,は感じです,はいいですね,は抜群です,もいい,があると,がいいので,はありますが,はします,は最高ですね,をしました,が悪いです,のとれた,は高いですね,はありませんが,がいいと,に優れていると,に優れている,が低い,の悪い,は素晴らしいです,もいいですね,といい,も良いので,は5と,も含めて,から考えると,はよいと,も良好です,は抜群だと,が良くて,になります,はものです,は抜群,も満足しています,はあり,を持った,は思いますが,は良いのですが,は良いですね,の強い,は大満足です
持ち,0.00569950136397656,0,0,0,0,0,22,30,0,0,5,6,0,0,0,7,0,0,4,0,0,0,1,1,9,0,0,2,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,5,1,0,0,6,2,2,1,0,0,6,1,2,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0
ホールド感,0.00522355903982476,0,1,1,3,0,3,5,0,0,14,4,5,6,0,9,0,1,2,0,4,5,0,1,1,0,1,1,2,0,0,0,0,0,1,1,0,4,0,2,0,0,2,1,9,3,0,3,1,0,0,7,3,1,5,0,0,0,2,3,3,0,4,3,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,2,4,0,0,0,1,2,0,1,0,0,0,2,2,0,2,3,1,0,0
評価,0.00507688596285405,12,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,4,0,3,0,0,1,0,0,0,1,0,4,0,1,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0
解像度,0.0043998053861967,5,2,6,0,0,1,1,2,0,1,0,0,1,0,2,0,8,0,0,1,1,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,2,0,1,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
写り,0.00418237743608139,0,0,0,7,0,4,2,0,0,4,5,4,4,0,6,0,0,1,0,4,1,4,1,5,1,0,2,0,2,0,0,0,1,2,0,0,0,0,7,2,0,0,0,1,1,0,1,2,1,0,3,0,2,8,1,0,0,1,0,1,4,0,3,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,3,3,1,1,2,1,0,1,0,0,4
デザイン,0.00394607436919451,0,0,0,1,0,7,0,0,0,2,11,3,7,0,0,0,0,2,0,11,1,2,0,1,0,0,1,1,4,0,1,1,0,0,1,0,2,1,3,6,1,0,1,1,2,0,2,2,1,0,2,3,0,1,0,0,5,0,0,5,0,0,2,0,0,4,3,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,1,5,0,3,2,2,0,0
使用頻度,0.00380913252043062,10,2,11,0,0,0,0,4,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.00365795640040182,0,1,9,0,3,0,0,1,0,0,0,0,0,45,0,0,1,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
コントラスト,0.00350976953187957,11,0,5,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,5,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
性能,0.0032247068316295,1,1,2,5,2,2,0,0,0,0,3,0,3,12,1,0,1,0,1,4,0,0,0,2,0,2,1,0,0,0,4,0,0,5,0,0,0,1,0,3,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,3,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,5,1,0,0,0,6
満足感,0.00294449972861361,7,6,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
精度,0.00291459508275589,1,1,4,2,0,2,2,1,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,2,3,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
値段,0.00273874238179664,1,1,9,0,0,0,0,2,0,0,0,0,0,27,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
レンズ,0.00262470286680941,0,1,0,5,1,1,1,0,0,10,2,1,1,0,8,1,0,0,0,6,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,4,0,0,1,0,0,1,0,1,1,0,5,4,0,0,1,1,0,3,2,0,2,6,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,3,1,0,0,5,1,1,0,0,0,1
評判,0.00226064792738182,3,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.00224219183747761,0,0,0,13,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,9,9,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
解像感,0.00220413854619754,1,0,2,0,2,0,1,2,0,1,1,0,2,0,0,1,2,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,8,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
レスポンス,0.00207727614104206,0,0,0,2,0,8,6,0,0,1,1,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
AF精度,0.00205581705906151,1,1,1,1,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
描写,0.00204531552137194,0,1,0,2,0,0,0,0,1,5,0,1,6,1,4,0,0,0,0,5,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,2,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,7,0,0,0,4,0,0,0,0,0,0
不満,0.00200575490367629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,4,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CP,0.0018945831948673,4,1,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.00186281887657316,0,0,0,1,0,0,2,0,0,2,0,3,3,0,1,0,0,0,0,2,6,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0
カメラ,0.00164825144254485,0,0,1,3,1,0,0,0,0,2,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,3,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,0,2,0,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,3,3,0,1,0,0
機能,0.00159901225426929,0,1,0,0,0,3,1,0,1,0,1,0,0,8,4,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,10,0,0,1,0,0,1,0,0,0,0,0,2,0,5,1,0,0,2,0,0,1,2,0,4,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
お買い得感,0.001530219067872,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
機能性,0.00148837134813639,0,0,1,0,0,0,0,0,0,3,3,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,4,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,3,0,0,0,0
色乗り,0.00142240140623893,0,0,0,2,0,1,0,0,0,1,0,2,5,0,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
描写力,0.00137148754635292,0,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,4,0,0,0,4,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
汎用性,0.00136051240325108,2,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,0.00134874559865558,2,1,1,4,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
レベル,0.00124410134679484,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
感度,0.00124233125903465,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,0.00124103360439139,0,0,0,1,0,2,0,0,0,0,1,1,3,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ボディ,0.0011876752737798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
液晶,0.00115870768302094,0,0,0,1,0,1,0,0,0,7,2,0,0,0,1,1,0,0,0,5,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,0
色のり,0.00114541320993368,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
機動性,0.00109180975632795,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
もち,0.00108272883112113,0,0,0,0,0,1,7,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
価値,0.00107500243722865,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
感触,0.00105628390641129,0,0,0,0,0,2,0,0,0,6,1,1,0,1,2,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
ホールド性,0.00102990883056386,0,0,1,0,0,1,2,0,0,2,0,4,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表現力,0.0010292277190465,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
利便性,0.00101450502430603,2,0,1,2,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.00100672887108807,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,7,1,0,0,2,0,0,0,0,0,0,0,2,2,0,5,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0
視認性,0.00100252247130847,0,0,0,2,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感じ,0.000998906996149524,0,0,0,0,0,4,0,0,0,3,1,0,0,0,6,0,0,1,0,0,0,2,2,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
