"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,質感,レスポンス,気持ち,もち,コストパフォーマンス,発色,レンズ,描写,性能,色乗り,評判,感触,相性,精度,視認性,ホールド性,位置,感じ,色,不満,液晶,重さ,色のり,AF精度,解像度,画像,感度,バッテリー,質,操作感,反応,重量バランス,天気,条件,音,大きさ,描写力,ボケ味,解像感,AF,補正
は思います,0.00390051980703364,28,0,0,1,11,12,4,4,11,2,0,0,0,2,2,6,5,4,1,0,0,0,0,1,1,0,0,1,0,5,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,2,3
を考えると,0.00369963876047899,2,0,8,4,3,3,0,0,0,0,0,0,1,10,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,1
のよい,0.00368893783606377,1,0,6,5,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
も良いと,0.00368300974327333,6,1,11,1,6,2,0,2,4,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
は良好です,0.0035675647244127,2,0,3,5,6,3,9,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
もいいです,0.00320044411735932,9,6,0,1,3,1,3,0,3,5,1,0,1,0,1,0,1,0,0,0,3,2,1,0,0,1,2,0,0,1,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,3,0,0,0
はいいと,0.00313641677160095,11,0,4,3,9,0,0,2,6,2,0,0,2,1,0,3,0,3,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良いので,0.00297348698730898,5,2,2,3,2,1,3,1,2,0,1,0,0,0,1,0,2,1,0,6,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいいです,0.00294166735462762,11,1,0,3,4,10,2,7,3,5,0,0,0,1,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1
が悪く,0.00289985541288076,0,6,2,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
が悪いです,0.00282683732677767,4,10,2,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の取れた,0.00276661868756864,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,0.00272873881800862,7,4,2,1,2,3,7,3,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
は良く,0.00272445139997386,7,2,3,1,2,4,1,2,0,0,1,0,0,0,0,1,3,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
も良い,0.00264744685907665,10,4,1,1,8,1,1,2,2,6,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
が悪いと,0.00259916776782165,4,6,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
の高い,0.00237656599949062,0,0,2,0,0,0,0,0,0,5,0,0,0,36,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0
がいいので,0.00230104812349975,1,6,0,1,2,5,1,2,0,0,1,1,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が高い,0.00223652772990123,0,0,2,0,3,1,1,0,0,9,0,0,0,14,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,6,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0
がいいと,0.0019712617504193,1,2,4,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
のとれた,0.00194687981717793,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,0.00186594027514378,6,0,0,1,1,1,5,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,15,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,1,2
は感じです,0.00183807882552757,2,2,0,0,3,2,3,1,5,4,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1
も良いので,0.00180919235421129,0,4,3,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0
もいい,0.00180388728690966,4,0,2,1,5,0,3,3,2,0,0,0,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0
は抜群です,0.00176313511577603,1,1,1,0,6,17,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,0.00175269585242795,7,1,0,2,1,1,0,4,2,4,0,0,0,9,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も良好です,0.00174088877140362,2,1,0,1,3,0,2,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0
はいいですね,0.00165474480508652,2,2,2,0,1,0,0,4,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2
が良くて,0.00164572155640485,2,2,1,1,0,1,1,2,0,1,1,0,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,0.00161150504525849,1,5,1,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は悪いです,0.00159596208486495,3,6,1,0,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
を考えれば,0.00158458789117956,2,0,5,0,1,3,1,2,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいです,0.00155214389070799,0,1,0,5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,0.00152198035377298,2,5,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,0.00146112085055985,1,0,1,4,1,0,0,0,4,2,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,0.00144995587878265,0,2,3,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
にありません,0.00137562489490041,3,1,0,1,3,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
も満足しています,0.00136951299526545,11,1,1,0,2,0,2,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
はします,0.00136606944864048,7,2,1,0,0,0,3,2,3,1,0,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
になります,0.00131557786458138,5,0,1,0,0,0,0,3,1,0,0,2,0,0,3,3,7,0,0,0,0,0,0,0,0,0,22,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はあります,0.00130981546453513,6,0,0,0,1,1,3,1,2,6,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,2,0,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,2,3,2
はよいです,0.00128183579229483,2,3,1,0,4,3,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,0.0012756211439257,4,1,0,0,1,7,2,0,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3,9
は良いのですが,0.00126989177781238,4,1,0,0,4,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
に優れた,0.00126259424375252,1,0,0,0,2,5,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はありますが,0.00123339742962227,9,1,0,0,3,0,0,1,4,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,17,1,4,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,0
もなく,0.00114583879539295,5,1,1,1,2,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
をする,0.00112215715084913,2,0,0,0,0,0,0,18,0,0,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
といい,0.00111527910432018,3,0,0,0,1,1,2,0,1,4,0,0,0,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
は思いますが,0.00111049899739783,7,1,0,0,3,2,2,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,0.00108149776567575,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は良いですね,0.00108116464783549,5,2,1,1,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
には満足しています,0.00107834759896987,12,1,0,1,1,1,1,3,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
があります,0.00107448766203021,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,5,0,22,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,4,0,0
は満足しています,0.00105227332477141,8,0,0,1,1,2,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
もいいですね,0.00102759382778822,1,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は方だと,0.00102245361091742,2,3,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は悪くないと,0.00101855805097295,1,1,1,2,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はよいと,0.000998150257402732,1,1,1,1,0,2,1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,0.00099522542723053,1,0,0,0,1,0,2,0,0,4,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,14,0,4,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,8,1,1
は気に入っています,0.000959041877714436,5,0,1,1,1,0,2,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はあり,0.000942741691536486,8,0,0,0,1,0,2,2,5,1,0,0,0,0,1,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
をします,0.000932092675479057,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
にある,0.00092409533000763,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,8,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
がよいと,0.000922652314051631,0,0,0,1,1,1,3,2,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
という点では,0.000912153520784508,2,1,0,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いとは,0.000909912878568043,2,1,0,2,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,0.000907556920413505,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
が悪いのが,0.000902587268221348,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,0.000902216478584066,0,0,0,0,0,1,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,0.000889919946589036,0,1,1,0,2,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足です,0.000868753108903089,7,0,0,1,2,2,1,2,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,0.000867636742777546,3,1,1,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じます,0.000864541153573433,8,0,0,0,2,1,1,1,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2
も含めて,0.000859629230922805,1,0,1,1,1,0,0,0,2,3,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が高く,0.000858289304257311,0,0,0,0,1,0,1,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
は悪くないです,0.000853310536106728,0,1,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪い,0.000846261053776533,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,0.000840071649627088,0,0,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,0.000837572545508047,2,3,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,0.000833606941623554,4,1,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
が良くなりました,0.000829473800759979,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は高いと,0.000827798805276782,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
は落ちますが,0.000811344761639655,5,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
は最高,0.000789121176571953,1,1,0,1,1,1,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,0.000786977661803529,4,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,0.000780011204852608,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も思います,0.000779142664161738,5,1,0,1,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
が悪いという,0.000772086789616646,2,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,0.000770014909139191,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じました,0.000767523806287647,2,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
がありません,0.00076460816796297,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も良いですね,0.000746725907205673,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
がよければ,0.000739109839703409,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
で満足しています,0.000735671881773111,8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はよい,0.000735384315373606,4,0,1,1,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はしました,0.000732845033319295,3,0,0,0,5,4,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が高いです,0.000732034841626231,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
