"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,はありません,もよく,がいい,が良いと,のよい,を考えると,がよく,も良いと,がよい,も良いです,は思います,は良好です,の取れた,の高い,が良いので,はいいと,はいいです,は良い,が高い,が悪いと,もいいです,は良く,が悪く,のとれた,も良い,がいいと,を考えれば,が悪いです,もいい,がいいので,の悪い,は最高です,もありません,に優れた,が良くて,は抜群です,も良いので,がよいです,も良好です,は感じです,はいいですね,がいいですね,があり,が感じます,は悪いです,になります,はありませんが,も満足しています,が良くない,はありますが,はあります
評判,0.000185995281930578,14,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000185891675777608,2,8,6,6,6,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000155322758841661,1,0,3,2,3,2,0,0,0,1,6,3,0,1,0,1,0,0,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,1,3,0,4,1,0,0
レンズ,0.000154550060067816,5,1,1,1,1,10,0,2,0,8,0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,4,1,0,0,0,1,0,0,1,1,0,0,3,0,2,0,1,0,1,0,0,0,0,1,1,2,5,1,0,3,2,0,0,2,4
描写,0.000146536275529354,2,0,1,0,6,5,0,0,1,4,0,1,4,0,1,0,0,0,3,5,0,0,0,2,0,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,7,0,0,0,1,5
性能,0.000141471187731978,5,2,0,0,3,0,0,3,0,1,0,2,1,0,12,0,0,4,0,4,0,0,1,1,3,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3
色乗り,0.00012694185673038,2,1,2,0,5,1,1,0,2,0,3,0,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
不満,0.00011868611400041,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,1,26,0,0,17,4
相性,0.000101404285799845,1,2,1,0,3,0,2,1,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,9.83585857209014e-05,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,9.62676133982491e-05,0,2,1,0,0,6,2,1,0,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
精度,9.24332645483338e-05,2,2,2,2,1,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,9.23020707302268e-05,1,0,1,0,0,1,1,1,1,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
もち,9.22856983137909e-05,0,1,0,7,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0
ホールド性,8.84974940239168e-05,0,1,4,2,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,8.47002647339316e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
出来,7.64468739255166e-05,5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
感じ,7.62790959903279e-05,0,4,0,0,0,3,1,1,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,1,0,0,22,0,0,0,6,2
質,7.54917034115308e-05,4,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
視認性,7.09182701631017e-05,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
カメラ,6.52844045940471e-05,3,0,0,0,0,2,0,1,0,6,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,3,1,0,0,1,3
感度,6.42416560933147e-05,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ヌケ,6.37209018658194e-05,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,6.31239558151014e-05,0,1,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0
機能,6.20749055080066e-05,0,3,0,1,0,0,0,1,0,4,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,2,2,1,0,0,0,0,0,2,0,0,10,0,0,0,6,0,0,4,1
大きさ,6.11296078594696e-05,0,0,0,0,1,2,2,1,1,2,0,1,0,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,2
液晶,5.97406820858396e-05,1,1,0,0,0,7,0,2,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,1
重さ,5.95016469195075e-05,0,3,0,0,2,2,0,0,1,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2
切れ,5.92329416467103e-05,4,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
値段,5.89542088918909e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,1,0,1,0,0,9,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
重量バランス,5.72658441552166e-05,0,0,3,1,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
描写力,5.72368186638368e-05,0,0,0,0,1,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4
操作感,5.60302191008606e-05,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,5.54021414440326e-05,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0
画像,5.47661655793345e-05,0,1,0,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,5,1,0,0,0,2
反応,5.46771599334548e-05,2,0,1,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,5.45427835579031e-05,0,1,0,1,0,2,0,0,1,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,3,2,0,2,3
バッテリー,5.43467356206956e-05,0,1,0,0,0,5,0,1,0,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,3,0,1,0,0,1,0
補正,5.42426608762971e-05,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,1,0,9,1,0,0,2
解像度,5.36723195682319e-05,0,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,6,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ボケ,5.06138588231566e-05,0,1,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,2
コントラスト,4.97483157653305e-05,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
位置,4.95159430875723e-05,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
取り回し,4.65164651843971e-05,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド,4.58096280858557e-05,0,1,0,0,0,5,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
条件,4.52054511574035e-05,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,4.41101023072208e-05,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
問題,4.22266150334382e-05,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,6,1
色合い,4.2092654974616e-05,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1
満足度,4.09442160931377e-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
解像感,4.07778836022242e-05,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,1,2
場合,3.75720609816556e-05,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,2
AF精度,3.69099484849537e-05,1,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
完成度,3.66222365825384e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
シャッター音,3.63537419792616e-05,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,0
見た目,3.58817689048365e-05,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
機能性,3.52916587196506e-05,0,0,1,0,0,3,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
機種,3.25130535645067e-05,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2
・操作性,3.24301824124832e-05,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
トータルバランス,3.1396121399274e-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表現力,3.02560751234786e-05,0,0,1,0,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
グリップ感,2.84777760125641e-05,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
電池持ち,2.7866210864306e-05,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,2.77793272345634e-05,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
・画質,2.75775529729963e-05,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
人,2.74065705932098e-05,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
気分,2.62032986673848e-05,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
キレ,2.61569202704088e-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
程度,2.59049271013166e-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見栄え,2.54264335856082e-05,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
撮影,2.51077562266499e-05,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2
評価,2.48164064303311e-05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
サイズ,2.45904255205384e-05,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
画角,2.42676326495414e-05,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
雰囲気,2.41187772213453e-05,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ファインダー,2.40482589932654e-05,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
グリップ,2.31433977672575e-05,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
組み合わせ,2.26895849682371e-05,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ボケ具合,2.18710589160757e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
ホールディング,2.1350530638415e-05,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,2.12185809808296e-05,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利便性,2.10438526570716e-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,2.06771425409178e-05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
