"",weight,バランス,画質,使い勝手,操作性,携帯性,持ち,コストパフォーマンス,ホールド感,質感,写り,デザイン,気持ち,満足度,評判,レスポンス,レンズ,発色,性能,描写,不満,色乗り,完成度,価格,精度,解像度,相性,感触,天気,もち,色のり,ホールド性,感じ,コントラスト,質,値段,視認性,出来,カメラ,感度,機能,液晶,色,解像感,大きさ,ヌケ,重さ,描写力,バッテリー,切れ,補正,評価,使用頻度,AF,ボケ味,重量バランス,画像,操作感,反応,ボケ,問題,位置,ホールド,音,色合い,取り回し,条件,機能性,満足感,AF精度,場合
はありません,0.000303261275852129,0,18,4,11,11,9,0,9,2,6,0,1,1,0,1,8,1,1,4,158,0,0,0,1,2,1,2,0,0,0,1,6,0,0,0,0,0,6,0,4,1,0,0,2,0,1,2,9,0,1,0,1,6,1,0,3,0,0,0,36,0,1,0,0,0,0,1,0,1,2
がいいです,0.00028645022717272,3,6,12,3,1,6,0,1,1,1,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
もよく,0.000273543876973387,5,11,4,5,6,6,1,5,2,1,1,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,2,0,0,0,0,1,0
が高い,0.000268908616288806,2,0,0,3,1,0,14,1,9,0,0,0,7,0,0,0,0,2,0,0,0,11,9,4,6,0,0,0,0,0,1,0,5,1,9,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
がいい,0.000251035463439094,4,9,1,1,1,10,1,1,4,5,1,9,0,3,1,1,3,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
が良いと,0.000232471316993691,9,13,6,2,1,2,2,1,1,2,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
を考えると,0.000232408535957642,8,2,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,45,0,0,0,1,0,1,0,0,0,0,0,27,0,0,0,0,8,0,0,0,8,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
のよい,0.000214473117555997,6,1,5,0,0,0,0,0,0,1,0,3,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよく,0.00020159311611405,5,1,5,3,0,1,0,1,1,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
も良いと,0.000198624065338198,11,6,1,6,2,1,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
は思います,0.000191043314478034,0,28,1,11,12,0,2,4,2,4,11,0,1,0,0,6,2,4,5,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,2,1,1,3,1,1,5,1,0,0,0,1,0,3,0,3,0,0,2,2,0,1,0,0,0,1,0,0,0,3,0,0,1,1,1,4
がよい,0.000186986286996206,3,1,6,2,3,6,3,0,1,0,1,2,0,0,0,0,0,4,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0
も良いです,0.000182475360568603,4,5,1,9,2,5,0,4,2,0,2,0,0,0,0,0,4,0,3,0,2,0,0,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
は高いです,0.00017851933657426,0,0,0,1,0,0,4,1,2,0,0,0,68,0,0,1,0,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
は良好です,0.000163854108429682,3,2,5,6,3,0,0,9,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
の取れた,0.000159010761183642,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いと,0.000153444627216438,0,0,0,0,0,0,24,0,2,0,0,0,10,0,0,1,0,2,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,0.000152787425781633,4,11,3,9,0,0,1,0,2,2,6,0,0,0,0,3,0,3,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
が良いので,0.000150655901685149,2,5,3,2,1,2,0,3,0,1,2,0,0,6,1,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はいいです,0.000138051196774177,0,11,3,4,10,1,1,2,5,7,3,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,2,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
は良い,0.000129926952818004,2,7,1,2,3,4,0,7,0,3,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
に優れた,0.000126156131231286,0,1,0,2,5,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,0.000125160799816981,4,4,1,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
もいいです,0.000119837356612192,0,9,1,3,1,6,0,3,5,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,3,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
は良く,0.000119302742197336,3,7,1,2,4,2,0,1,0,2,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
が悪く,0.00011749083671143,2,0,1,0,2,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0
は最高です,0.000113604391564772,0,7,2,1,1,1,9,0,4,4,2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0
も良い,0.000113055585992036,1,10,1,8,1,4,0,1,6,2,2,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
のとれた,0.000111896461573674,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,0.000108791993563227,5,2,0,1,3,0,3,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.000103102571359823,4,1,3,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が高いです,9.88992880727305e-05,1,0,0,0,0,0,4,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
もいい,9.79976522004032e-05,2,4,1,5,0,0,1,3,0,3,2,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0
が悪いです,9.73207491797183e-05,2,4,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,9.41561849495202e-05,0,6,1,1,1,0,0,5,0,8,1,0,0,0,0,1,1,0,0,15,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,2,0,0,1,3,0,1,0,0,0,21,0,0,0,0,0,0,0,0,1,0
が高く,9.2882399972559e-05,0,0,0,1,0,0,4,1,6,0,0,0,2,0,0,0,0,1,0,0,0,4,1,0,8,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
がいいので,9.08616165438971e-05,0,1,1,2,5,6,1,1,0,2,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
の悪い,8.73383552328503e-05,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
があり,8.65881632928703e-05,0,1,0,1,0,0,0,2,4,0,0,1,0,0,0,5,1,0,0,14,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,10,0,0,8,1,0,4,0,0,4,1,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,4
があります,8.28512709591655e-05,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,22,0,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,2,1,0,4,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,1,4,1,1,0,0,0,1,0,10,0,25
は抜群です,8.26246829086135e-05,1,1,0,6,17,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,8.22474640229153e-05,0,2,0,3,2,2,0,3,4,1,5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,2,2,1,1,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
が良くて,8.08870006913574e-05,1,2,1,0,1,2,0,1,1,2,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,8.07431690218142e-05,0,0,0,0,1,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,7,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,7.84545377081895e-05,3,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
はいいですね,7.74560466230508e-05,2,2,0,1,0,2,3,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はあります,7.5767385990924e-05,0,6,0,1,1,0,0,3,6,1,2,0,0,0,0,4,0,3,5,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,1,0,2,2,0,2,4,0,0,2,0,0,3,0,0,2,0,0,2,1,0,0,0,1,0,0,0,3,0,2
も良好です,7.33138668496351e-05,0,2,1,3,0,1,0,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,7.23403642289724e-05,0,0,5,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高い,7.04232350284079e-05,0,0,0,0,0,0,2,0,2,0,0,0,13,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
はありますが,6.98957792693673e-05,0,9,0,3,0,1,0,0,3,1,4,0,1,0,0,2,0,0,1,17,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,1,0,4,1,0,1,1,0,4,0,1,0,0,0,0,2,1,0,0,0,0,1,6,0,1,1,2,0,0,1,0,0,1
はありませんが,6.98710141501313e-05,0,4,0,1,7,1,0,2,1,0,2,0,0,0,0,2,0,1,0,26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,1,1,0,0,0,1,1,9,0,0,3,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,0,0
がいいですね,6.90058294296927e-05,1,1,4,1,0,0,0,0,2,0,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,6.72617535835129e-05,1,7,0,0,0,2,0,3,1,2,3,0,2,0,0,6,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,4,0,0,0
になります,6.70418739339154e-05,1,5,0,0,0,0,0,0,0,3,1,2,0,0,0,3,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,3,0,0,0,5,0,1,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
が感じます,6.67401610290946e-05,3,0,1,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は悪いです,6.56083339341337e-05,1,3,0,3,5,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
のある,6.47718072514045e-05,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,1,4,0,7,7,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
も満足しています,6.3955674611017e-05,1,11,0,2,0,1,0,2,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
はしました,5.95450132627712e-05,0,3,0,5,4,0,0,2,0,0,1,0,11,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
が良くない,5.87843579644101e-05,1,1,1,1,0,5,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もなく,5.84853920583642e-05,1,5,1,2,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,12,0,0,1,1,0,0,0,0,0,0
といい,5.77545490413425e-05,0,3,0,1,1,0,1,2,4,0,1,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が高いと,5.7153260573235e-05,0,0,0,0,1,0,6,0,2,0,0,0,3,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,5.57752216678416e-05,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は良いのですが,5.53313062675953e-05,0,4,0,4,5,1,0,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はよいです,5.42453480153918e-05,1,2,0,4,3,3,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
をする,5.39600798143662e-05,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,1,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,5.31910389054328e-05,0,3,1,3,1,1,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
を考えて,5.20799746365205e-05,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も含めて,5.18471280010647e-05,1,1,1,1,0,0,2,0,3,0,2,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
も悪くなく,5.12214376284337e-05,1,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,5.11693663821796e-05,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
