"",weight,の高い,は高いです,が高い,は高いと,の良い,が高いです,に優れた,が良い,を考えると,は良いと,は高い,が高いと,は良いです,が高く,も良く,が良く,は最高です,はありません,も高く,が悪い,があります,は思います,はしました,は5です,が高いので,が良いです,もよく,を考えれば,は高く,は満点です,がいい,がいいです,が良いと,も高い,も良いと,のある,がよい,があり,は最高だと,はあります,はしましたが,はいいです,も良いです,のよい,がある,はあると,がよく,はいいと,をしました,が低い,は高いですね,は最高ですね,も良い,があると,は良好です,が良いので,はいいですね,に優れていると,もありません,は5と,は感じです,の強い,に優れている,は抜群です,はします,の取れた,は良い,もいいです,は良く,はありますが,から考えると,は大満足です,は抜群だと,が悪いと,がいいので,もいい,は素晴らしいです,で言えば,といい,を持った,は抜群,が悪く,が多い,が高かった,もいいですね,はものです,を含め,も高いので,をしたのは,はありませんが,も含めて,も高いです,はよいと,が素晴らしい,のとれた,は低いです,が悪いです,は思いますが,の悪い,が得られる
使い勝手,0.00252837196258509,0,0,0,0,12,0,0,17,4,5,0,0,10,0,4,10,2,4,0,7,1,1,0,0,0,15,4,0,0,0,1,12,6,0,1,0,6,0,0,0,0,3,1,5,0,0,5,3,0,0,0,1,1,0,5,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
解像度,0.00246894828667264,5,2,6,0,0,2,0,1,0,0,0,0,1,8,1,0,0,2,7,1,0,1,1,0,2,0,1,0,4,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
使用頻度,0.00241655229094232,10,2,11,0,0,4,0,0,1,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
価格,0.00207912548678828,0,1,9,3,0,1,0,0,45,0,0,2,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,27,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
コントラスト,0.00203958903723221,11,0,5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ホールド感,0.0018290966709494,0,1,1,0,3,0,0,3,0,4,0,0,14,1,6,5,0,9,0,5,1,4,2,0,0,2,5,1,0,1,1,1,1,0,0,0,0,2,0,3,2,2,4,0,0,0,1,0,0,0,0,0,1,1,9,3,0,0,5,0,3,0,0,4,3,0,7,3,1,0,0,0,0,0,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
持ち,0.00181021060925093,0,0,0,0,0,0,0,22,0,6,0,0,5,0,0,0,1,7,0,30,0,0,0,0,0,4,0,0,0,0,9,1,2,0,0,0,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,2,0,3,0,2,1,0,0,0,5,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,1,0,0
満足感,0.00179966715257738,7,6,3,0,0,3,0,0,0,0,3,0,0,1,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
写り,0.001612508764946,0,0,0,0,7,0,0,4,0,5,0,0,4,0,4,4,4,6,1,2,0,4,0,0,0,1,1,2,0,0,5,1,2,0,2,0,0,0,1,1,1,7,0,1,0,0,0,2,2,0,0,0,2,0,1,1,4,0,8,0,1,0,0,0,2,0,3,0,2,1,0,4,0,1,2,3,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
性能,0.00159373283665416,1,1,2,2,5,0,0,2,12,3,0,1,0,1,3,0,0,1,0,0,2,4,0,0,0,0,0,5,1,0,2,0,1,0,0,0,4,0,0,3,0,0,0,0,1,1,0,3,0,3,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,6,0,0,1,0,2,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
値段,0.00159335288127525,1,1,9,0,0,2,0,0,27,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
デザイン,0.00158561563012282,0,0,0,0,1,0,0,7,0,11,0,0,2,0,7,3,2,0,0,0,0,11,1,1,0,2,1,0,1,1,1,0,1,0,4,1,1,0,1,2,0,3,2,0,0,5,1,6,0,0,0,1,2,0,1,2,0,0,1,0,5,0,0,0,3,0,2,3,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,3,0,0,0,0,3,0,0
精度,0.00145775857730769,1,1,4,0,2,1,0,2,0,2,2,0,1,0,1,2,0,1,3,2,1,0,0,0,3,0,0,0,3,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
解像感,0.00126785647782283,1,0,2,2,0,2,0,0,0,1,1,1,1,2,2,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,3,1,6,0,8,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
レンズ,0.00111985354607251,0,1,0,1,5,0,0,1,0,2,1,0,10,0,1,1,0,8,0,1,0,6,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,4,0,4,0,0,5,4,0,3,0,0,0,1,1,2,0,0,1,0,1,0,1,0,0,0,6,0,1,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,1,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,2,0
CP,0.0010697161774381,4,1,1,1,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000930735149713158,3,0,0,0,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
お買い得感,0.000900143523169049,2,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不満,0.00082539152605354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
機能,0.000804303272678154,0,1,0,0,0,0,1,3,8,1,0,0,0,0,0,0,2,4,0,1,2,1,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,10,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,3,0,0,3,0,0,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0
機能性,0.000799100546325179,0,0,1,0,0,0,0,0,1,3,0,0,3,1,0,1,1,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,3,2,0,0,1,0,0,0,0,3,0,0
描写,0.000798350884531656,0,1,0,0,2,0,1,0,1,0,0,0,5,0,6,1,1,4,0,0,0,5,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
気持ち,0.000794748391222129,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,9,9,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汎用性,0.000771802037767235,2,0,1,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.000728684715136196,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,1,3,0,0,2,1,0,1,0,0,1,0,0,2,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0
レベル,0.000728509331603709,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000671700032404614,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
発色,0.000648075656994133,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,3,2,1,0,2,0,2,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
レスポンス,0.000645512830534462,0,0,0,0,2,0,0,8,0,1,0,0,1,0,6,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表現力,0.000601329031610454,0,0,0,0,0,0,1,0,3,1,0,0,3,0,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
質,0.00058924214993707,2,1,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
機動性,0.000559690976701544,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.000555221459578153,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
価値,0.000552967254022245,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,7,22,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利便性,0.000552791993924301,2,0,1,1,2,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画素数,0.000511058762861023,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
色乗り,0.000486262299262071,0,0,0,0,2,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.000480491055774011,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,0.000476543573229047,0,0,0,0,1,0,0,1,0,2,1,0,7,0,0,0,1,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0
相性,0.000454355075931966,0,0,0,0,1,0,0,2,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
趣味性,0.000444342799865135,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
効果,0.000438196889455038,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
良さ,0.000431090655572095,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
視認性,0.00042659833846731,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
基本性能,0.000418191400250699,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.000415857011843403,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,7,1,1,0,2,0,1,1,0,5,1,1,0,0,0,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0
大きさ,0.000412598034723595,0,0,0,0,0,0,0,0,8,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,1,1,0,1,0,2,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
